# receipt — live header rows with NO derivable source, captured 2026-08-09
#
# WHAT: every pn_greek_identity row where live carries a Greek header but today's
# tables hold nothing to rebuild it from — no lemma on the word, no printed form
# for that slot. A fresh header build blanks all of these.
#
# STATUS — READ THIS BEFORE USING IT: these values are EVIDENCE, NOT A RESTORE SET.
# They were read from the form table DURING the 8/8 chain, before that table was
# rebuilt (the step 8.3-before-step-9 ordering defect, TICKET_glued_name_headers.md).
# Some are plainly wrong (a verb joined to the name by U+00A0: "απέδρα Αδάρ",
# "ην Νώε"). The clean-looking ones ("Ιησούς" on a Jesus slot) are right by luck,
# not by derivation — the same stale read produced both. Restoring them wholesale
# would be laundering a bad read into the record.
#
# Captured because a form-table rebuild would otherwise be the event that discovers
# they were the only copy (reviewer ruling 2026-08-09).
#
# Regenerate from live:
#   sqlite3 -readonly ~/bible-db/bible.db "SELECT v.book||'|'||v.chapter||'|'||v.verse||'|'||g.position||'|'||lower(COALESCE(NULLIF(w.english_head,''),w.english))||'|'||g.greek_lemma||'|'||g.source FROM pn_greek_identity g JOIN words w ON w.verse_id=g.verse_id AND w.position=g.position JOIN verses v ON v.id=g.verse_id LEFT JOIN abp_surface s ON s.verse_id=g.verse_id AND s.position=g.position WHERE COALESCE(g.greek_lemma,'')<>'' AND COALESCE(w.lemma,'')='' AND s.verse_id IS NULL ORDER BY v.id, g.position;"
#
# NOTE: the PA paste carried one blank line after the 1Sa 7:17 row. Left as-is
# rather than silently closed — regenerate if an exact count matters.
#
# columns: book|chapter|verse|slot|name|stored header|source
Gen|3|12|3|adam|Αδάμ|tipnr
Gen|5|9|1|enos|Ενώς|surface
Gen|5|10|1|enos|Ενώς|surface
Gen|5|32|2|noah|ην Νώε|tipnr
Gen|9|26|10|canaan|έσται Χαναάν|lemma-only
Gen|11|30|2|sarai|ην Σάρα|tipnr
Gen|12|5|2|abram|έλαβεν ΄ Αβραμ|lemma-only
Gen|13|14|10|lot|Λωτ|tipnr
Gen|14|5|6|chedorlaomer|Χοδολλογομόρ|surface
Gen|25|27|6|esau|ην Ησαύ|tipnr
Gen|31|22|11|jacob|απέδρα Ιακώβ|abp-tag
Gen|39|17|14|hebrew|Εβραίος|tipnr
Gen|41|12|7|hebrew|Εβραίος|tipnr
Gen|47|11|2|joseph|κατώκισεν Ιωσήφ|tipnr
Gen|47|12|2|joseph|εσιτομέτρει Ιωσήφ|tipnr
Exo|4|25|2|zipporah|Σεπφώραν|surface
Exo|17|11|15|amalek|Αμαλήκ|surface
Exo|17|13|2|joshua|ετρέψατο Ιησούς|tipnr
Exo|18|10|2|jethro|είπεν Ιοθώρ|lemma-only
Exo|30|8|3|aaron|εξάπτη Ααρών|tipnr
Lev|8|19|7|moses|προσέχεε Μωυσής|tipnr
Lev|8|24|40|moses|προσέχεε Μωυσής|tipnr
Lev|24|10|22|israelitish|Ισραηλίτιδος|surface
Num|12|15|2|miriam|Μαριάμ|surface
Num|12|15|15|miriam|Μαριάμ|surface
Num|13|30|2|caleb|κατεσιώπησε Χαλέβ|lemma-only
Num|16|15|2|moses|εβαρυθύμησε Μωυσής|tipnr
Num|21|25|2|israel|έλαβεν Ισραήλ|lemma-only
Num|21|25|9|israel|κατώκησεν|lemma-only
Num|24|18|2|edom|έσται Εδώμ|lemma-only
Deu|4|45|11|moses|ελάλησε Μωυσης|tipnr
Jos|4|4|2|joshua|ανακαλεσάμενος Ιησούς|tipnr
Jos|5|4|7|joshua|Ιησούς|tipnr
Jos|6|8|4|joshua|είπεν Ιησούς|tipnr
Jos|8|19|3|joshua|Ιησούς|tipnr
Jos|8|28|2|joshua|ενεπύρισεν Ιησούς|tipnr
Jos|13|32|3|moses|κατεκληρονόμησε Μωυσής|tipnr
Jos|14|14|4|hebron|Χεβρών|surface
Jos|17|11|2|manasseh|έσται Μανασσή|tipnr
Jos|18|8|8|joshua|Ιησούς|tipnr
Jos|24|19|3|joshua|Ιησούς|tipnr
Jdg|1|6|1|adonibezek|Αδωνιβεζέκ|surface
Jdg|1|7|1|adonibezek|Αδωνιβεζέκ|surface
Jdg|1|32|3|asher|Ασήρ|tipnr
Jdg|4|18|2|jael|Ιαήλ|surface
Jdg|4|22|8|jael|Ιαήλ|surface
Jdg|6|31|2|joash|Ιωάς|surface
Jdg|9|16|12|abimelech|Αβιμέλεχ|lemma-only
Jdg|9|39|2|gaal|Γαάλ|surface
Jdg|9|41|7|zebul|Ζεβούλ|surface
Jdg|12|10|2|ibzan|Εβεσάν|surface
Jdg|13|8|2|manoah|Μανώε|surface
Jdg|13|12|2|manoah|Μανώε|surface
Jdg|13|15|2|manoah|Μανώε|surface
Jdg|13|17|2|manoah|Μανώε|surface
Jdg|13|22|2|manoah|Μανώε|surface
Jdg|16|6|2|delilah|Δαλιλά|surface
Jdg|16|10|2|delilah|Δαλιλά|surface
Jdg|16|12|2|delilah|Δαλιλά|surface
Jdg|16|13|2|delilah|Δαλιλά|surface
Jdg|16|14|8|delilah|Δαλιλά|surface
Jdg|16|18|2|delilah|Δαλιλά|surface
Jdg|16|20|2|delilah|Δαλιλά|surface
Jdg|16|29|2|samson|περιέλαβε Σαμψών|tipnr
Rth|1|8|2|naomi|Νοομί|surface
Rth|1|11|2|naomi|Νοομί|surface
Rth|1|14|10|orpah|Ορφά|surface
Rth|1|15|2|naomi|Νοομί|surface
Rth|1|22|2|naomi|Νοομί|surface
Rth|2|22|2|naomi|Νοομί|surface
Rth|4|16|2|naomi|Νοομί|surface
1Sa|4|15|2|eli|ην Ηλί|lemma-only
1Sa|7|6|29|samuel|εδίκαζε Σαμουήλ|tipnr
1Sa|7|10|2|samuel|ην Σαμουήλ|tipnr
1Sa|7|15|2|samuel|εδίκαζε  Σαμουήλ|tipnr
1Sa|7|17|17|israel|Ισραήλ|lemma-only
1Sa|14|41|11|saul|κατακληρούται Σαούλ|tipnr
1Sa|15|2|9|amalek|Αμαλήκ|surface
1Sa|17|21|7|israel|παρετάξαντο Ισραήλ|lemma-only
1Sa|17|42|2|goliath|Γολιάθ|surface
1Sa|18|14|2|david|ην Δαυίδ|tipnr
1Sa|19|13|3|michal|Μελχόλ|lemma-only
