# R-2 variant-batch verdicts (2026-07-24) - per-pair eyeball, filter of record per JP ruling.
# Working set: docs/tickets/variant_batch_candidates.txt (233 unique pairs / 391 rows; 352 count superseded).
# Method: every pair checked against TIPNR.txt via the PRODUCTION parser (import_tipnr.parse_tipnr) -
#   target's number, ref-match of the example verse inside the entity's record block, and whether the
#   surface already resolves or was dropped-ambiguous by the loader. Ladder fact that drives most kills:
#   direct lookup of the surface runs BEFORE the variant map, so a surface already in the lookup makes
#   the map entry unreachable.
# Verdicts: ACCEPT 11, MERGED 1, KILL 82, SHIPPED 139 (of 233 candidate lines)
# NOTE on the KILL/already-resolves class: these surfaces resolve since the R-1 loader fix. If any of
#   their rows are STILL number-only after the R-1 rebuild, the failure is in the word cell (possessive/
#   plural/split), not the alias map - re-derive that list from a post-R-1 numonly dump in stage 1.
# surface | example ref | candidate key | number delivered | verdict | reason
abadon | 1Ch 9:36 | abdon | H5658 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
abia | 1Ch 3:10 | abijah | H29 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
abiah | 1Ch 6:28 | abijah | H29 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H29); the ladder finds it before the variant map is ever consulted - entry would be dead code
abigal | 1Sa 25:36 | abigail | H26 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
abimelech | 1Ch 18:16 | ahimelech | H288 | KILL | surface already resolves directly to H40 (its own TIPNR identity), so the ladder never reaches the variant map; aliasing to ahimelech could also change an established resolution if the direct hit were ever removed - unsafe and unreachable
acrabbim | Jos 15:3 | akrabbim | H4610 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
adonizedec | Jos 10:1 | adoni-zedek | H139 | ACCEPT | new entry: surface unresolvable by the loader, single TIPNR owner, ref-match at the attested verse
ahiah | 1Ch 8:7 | ahijah | H281 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H281); the ladder finds it before the variant map is ever consulted - entry would be dead code
ahijah | Neh 10:26 | ahiah | H281 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H281); the ladder finds it before the variant map is ever consulted - entry would be dead code
aholibama | Gen 36:25 | oholibamah | H173 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
alexandrian | Act 18:24 | alexandria | G222 | KILL | surface already resolves directly to G221 (its own TIPNR identity), so the ladder never reaches the variant map; aliasing to alexandria could also change an established resolution if the direct hit were ever removed - unsafe and unreachable
aman | Jos 15:26 | amam | H538 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
amminhud | Num 34:20 | ammihud | H5989 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
araba | Jer 39:4 | arabah | H6160 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
arabian | Neh 6:1 | arabia | H6152 | KILL | loader drops this spelling as ambiguous: TIPNR gives it more than one number (gentilic Group rows carry their own number, distinct from the place). A map entry would hand it a single number TIPNR itself refuses. Gentilics route to Pile U (Group-entity binds) in R-2 proper
aristarcus | Act 19:29 | aristarchus | G708 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
asiah | 1Ch 15:6 | asaiah | H6222 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
asnapper | Ezr 4:10 | osnappar | H620 | KILL | surface already resolves directly in the TIPNR lookup to the same number (H620); the ladder finds it before the variant map is ever consulted - entry would be dead code
atharin | Num 21:1 | atharim | H871 | SHIPPED | identical entry already in the R-1 variant map (hand-checked then)
