# greek_header_nominatives.tsv — pre-registered hand-table headwords, ABP-cited.
# Consumed by build_pn_greek_identity.py (name<TAB>headword; norm_name-keyed).
# Discipline (DRILL_greek_header_backfill.md + batch-1 verdict 2026-07-30):
# a row is admissible ONLY when every printed form of the name is the SAME stem
# in a different grammatical case AND the headword itself is printed on ABP's
# own pages (verse receipts in docs/tickets/greek_header_batch1.md). No imported
# spellings, no majority votes over real spelling differences — those names
# stay per-verse under ruling (b).
#
# Batch 1 (JP-approved 2026-07-30, receipt = greek_header_batch1.md):
ahaziah	Οχοζίας
antilebanon	Αντιλίβανον
arabia	Αραβία
ashkelon	Ασκαλών
ashtoreth	Αστάρτη
azaziah	Οζίας
# Batch 2 (JP-approved 2026-07-31 pending apply chain; receipt = greek_header_batch2.md;
# per-verse dump verified in-session against bh_scrape. egypt HELD by JP ruling —
# two gentilic-printed rows block under the page-attestation standard, adonijah
# precedent; recoverable only via the banked per-row-exclusion mechanism):
cyrus	Κύρος
damascus	Δαμασκός
darius	Δαρείος
dinah	Δίνα
berechiah	Βαραχίας
coniah	Ιεχονίας
cononiah	Χωνενίας
# Batch 3 (receipt = greek_header_batch3.md; admitted on four page receipts of the
# naming form — Isa 33:9 subject position, Mat 4:15 + Isa 9:1 the cross-testament
# quote pair, Joel 3:4 address. Three one-letter slips fold under it; no gentilic
# is printed under a Galilee label, so the egypt blocker is absent):
galilee	Γαλιλαία
