# R-2 BINDER-side variant verdicts (2026-07-24) - second disposition pass, per the frame
# correction (top of variant_batch_verdicts.txt). Axis: ENTITY BINDS, target map =
# entity_resolution.VARIANT_ALIASES (NOT scripts/tipnr_alias_variants.py).
# Bind standard per pair: the target entity's own reference list contains the attested verse,
# checked via the PRODUCTION binder code (entity_resolution.parse_tipnr + build_indexes).
# WHY THIS PASS IS LOW-RISK (number-guard property, asserted per reviewer condition): a
# VARIANT_ALIASES entry only ever ADDS a fuzzy candidate; the binder renders a fuzzy bind only
# when the word's stored Strong's number ALSO sits in the entity's own number set AND the verse
# is in the entity's reference list; ties floor as HOT. An imperfect entry can only leave a word
# floored - it cannot attach a wrong card.
# Sub-batches: NEW-SESSION = pairs first dispositioned 2026-07-24; R1-REVISIT = the pairs whose
# importer-map entries shipped in R-1 (decision lines in alias_decisions.txt), now getting their
# binder-side look (reviewer condition 3).
# ACCEPT-CROSS = surface is an exact TIPNR spelling of a different same-family entity; the alias
# adds the ref-matched entity as an extra guarded candidate (jehoram/joram class).
# batch | surface | example ref | target entity head | verdict | reason
R1-REVISIT | abadon | 1Ch 9:36 | abdon | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | abia | 1Ch 3:10 | abijah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | abiah | 1Ch 6:28 | abijah | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | abigal | 1Sa 25:36 | abigail | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | abimelech | 1Ch 18:16 | ahimelech | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | acrabbim | Jos 15:3 | akrabbim | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | adonizedec | Jos 10:1 | adoni-zedek | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | ahiah | 1Ch 8:7 | ahijah | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
NEW-SESSION | ahijah | Neh 10:26 | ahiah | ACCEPT-CROSS | surface is already a TIPNR spelling of a DIFFERENT entity (exact path floors on verse mismatch); alias adds the ref-matched entity as a number-guarded fuzzy candidate
R1-REVISIT | aholibama | Gen 36:25 | oholibamah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | alexandrian | Act 18:24 | alexandria | KILL | gentilic class - ruled floor-stays (pile U group-entity work); carries over from the number-side verdicts
R1-REVISIT | aman | Jos 15:26 | amam | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | amminhud | Num 34:20 | ammihud | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | araba | Jer 39:4 | arabah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | arabian | Neh 6:1 | arabia | KILL | gentilic class - ruled floor-stays (pile U group-entity work); carries over from the number-side verdicts
R1-REVISIT | aristarcus | Act 19:29 | aristarchus | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | asiah | 1Ch 15:6 | asaiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | asnapper | Ezr 4:10 | osnappar | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | atharin | Num 21:1 | atharim | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | azabuk | Neh 3:16 | azbuk | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | azareel | 1Ch 12:6 | azarel | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | azra | 1Ki 16:9 | arza | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
NEW-SESSION | azur | Eze 11:1 | azzur | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | baaliah | 1Ch 12:5 | bealiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
R1-REVISIT | barechiah | Neh 3:4 | berechiah | ACCEPT | binder cannot reach this surface today; target entity ref-matches the attested verse
